date,rm,rf,interest(m),SMB,HML,mom
20010131,22.45,-6.676342525,0.0802213,-6.056,-32.874,-32.294
20010228,-6.44,-10.88646967,0.036090226,-16.876,6.862,3.484
20010331,-9.49,-0.872600349,-0.092043682,-7.702,4.42,6.564
20010430,10.35,2.816901408,-0.105714286,10.354,-10.78,-6.392
20010531,6.03,0.171232877,0.020671835,1.052,9.71,-0.388
20010630,-5.84,-3.418803419,0.058047493,-1.21,10.244,10.112
20010731,-9.00,-5.840707965,0.043417367,1.358,-0.634,6.77
20010831,0.66,-7.518796992,0.079062958,4.372,13.024,9.12
20010930,-16.80,-5.284552846,0.015898251,1.838,12.292,6.542
20011031,12.12,-6.43776824,-0.056542811,-8.09,-15.082,-3.948
20011130,19.72,3.899082569,-0.051987768,17.958,11.888,-2.15
20011231,9.76,6.843267108,-0.018895349,9.118,4.836,4
20020131,7.84,-1.033057851,-0.012838802,-1.62,12.882,-0.26
20020228,9.61,-5.219206681,0.014084507,7.572,5.644,6.892
20020331,9.22,2.202643172,-0.024285714,3.528,-2.106,2.224
20020430,-5.94,3.232758621,-0.018131102,3.044,3.824,4.594
20020531,-5.45,0.417536534,0.028767123,-5.758,0.76,-4.304
20020630,-12.50,0.831600832,0.046544429,3.376,5.184,8.914
20020731,-3.33,1.237113402,0.032544379,-3.102,2.51,-0.02
20020831,1.70,-2.240325866,0.04587156,-3.168,1.248,1.99
20020930,-12.22,0.208333333,0.012820513,3.852,12.338,3.688
20021031,1.93,2.079002079,0.008116883,-0.708,-6.074,5.608
20021130,7.67,0,0.050736498,9.194,0.068,4.546
20021231,-13.42,-0.203665988,0.005172414,-0.646,4.784,-0.898
20030131,-5.69,-4.081632653,0.058925477,-2.044,-0.948,-0.67
20030228,-2.78,-3.404255319,0.051565378,0.4,3.404,3.506
20030331,-6.90,4.845814978,-0.009708738,7.764,1.552,7.612
20030430,11.88,-2.941176471,0.032692308,0.282,-1.23,-8.882
20030531,5.68,-4.978354978,0.069582505,-2,-1.696,-4.464
20030630,5.76,-2.505694761,0.047008547,1.04,-3.848,-4.35
20030731,6.51,-3.037383178,-0.109865471,6.862,0.946,1.05
20030831,5.14,-6.024096386,-0.062626263,11.398,9.57,8.638
20030930,-8.16,-1.794871795,0.093155894,-3.118,6.23,1.72
20031031,12.16,2.610966057,-0.020964361,14.924,2.988,7.79
20031130,2.69,7.633587786,-0.098562628,6.338,6.784,4.26
20031231,1.82,2.600472813,-0.014953271,3.652,5.61,3.9
20040131,4.66,-1.843317972,0.001841621,4.97,1.402,-0.036
20040229,2.36,-4.225352113,-0.001845018,5.284,4.14,3.008
20040331,-0.33,-3.676470588,0.031307551,-0.686,2.168,4.964
20040430,-2.01,-0.508905852,0.001901141,-9.36,-1.362,2.432
20040531,-6.84,-0.255754476,0.017142857,-0.45,2.74,0.052
20040630,-2.25,0.256410256,0.029069767,3.578,5.898,1.886
20040731,-6.42,0,0.025948104,-1.802,14.556,-0.07
20040831,9.28,-5.37084399,0.112704918,5.114,-0.792,-2.358
20040930,3.92,-4.864864865,0.043879908,6.294,7.02,2.436
20041031,0.33,0,0.02173913,2.296,5.596,8.12
20041130,5.18,-2.840909091,0.022222222,0.704,7.916,1.092
20041231,2.03,-0.877192982,0.027777778,-3.202,-2.384,-1.338
20050131,4.11,2.359882006,-0.148051948,-25.384,-16.192,-8.378
20050228,8.43,3.458213256,-0.104072398,-2.716,15.262,12.16
20050331,-4.52,-1.114206128,0.022540984,3.106,4.218,-3.702
20050430,-4.97,-0.845070423,0.018867925,-1.414,4.09,1.28
20050531,6.46,-0.284090909,0.055555556,-6.302,-10.268,-0.012
20050630,3.91,0,-0.009049774,-6.256,4.706,11.02
20050731,11.23,0,-0.096412556,-9.476,4.112,2.432
20050831,-2.52,-0.284900285,-0.038854806,2.636,5.584,-1.636
20050930,12.71,5.714285714,-0.013779528,-0.282,8.312,7.562
20051031,-5.15,6.216216216,-0.040776699,-19.376,0.706,1.776
20051130,12.03,0.763358779,-0.059701493,-8.6,-3.388,5.19
20051231,7.82,2.02020202,0.014084507,7.848,4.52,-3.776
20060131,1.48,2.722772277,0.003571429,1.75,-1.542,2.274
20060228,-2.02,2.409638554,0.053763441,-1.718,-0.866,-1.978
20060331,-0.87,0.470588235,-0.026515152,1.076,3.812,1.028
20060430,6.64,1.405152225,-0.005535055,0.92,7.186,3.89
20060531,-7.19,0.692840647,0.04587156,0.298,-1.586,-1.704
20060630,-1.71,2.52293578,-0.009615385,2.776,0.78,0.152
20060731,0.21,3.579418345,0.017142857,6.428,3.422,2.638
20060831,4.23,1.079913607,0.042635659,3.97,3.544,-5.686
20060930,1.99,-0.854700855,0.010121457,-6.08,-0.132,-2.43
20061031,-0.50,-1.50862069,0.020449898,1.456,5.132,6.03
20061130,4.96,0.656455142,-0.025052192,-3.59,7.294,0.71
20061231,1.63,3.47826087,-0.00814664,3.572,3.686,3.666
20070131,-5.17,3.361344538,-0.018181818,-3.856,1.282,2.228
20070228,4.20,0.609756098,0.005952381,1.022,3.256,2.662
20070331,2.48,-0.202020202,0.013972056,-4.088,1.81,1.228
20070430,6.17,0.20242915,-0.026315789,2.684,7.398,6.088
20070531,10.29,1.818181818,-0.029585799,-0.118,13.48,8.806
20070630,4.92,-0.198412698,-0.049808429,2.454,0.848,-3.712
20070731,10.88,0.397614314,-0.00729927,6.022,12.468,7.566
20070831,-3.11,3.168316832,0.018115942,-3.802,3.012,4.884
20070930,6.41,2.495201536,-0.018450185,2.652,2.62,8.136
20071031,6.08,0,-0.007246377,13.938,0.546,5.094
20071130,-7.69,1.685393258,-0.008992806,0.038,-0.614,-5.154
20071231,3.40,5.524861878,-0.037433155,4.742,0.46,-2.768
20080131,-14.36,1.396160558,0.04467354,-6.856,3.934,-4.672
20080229,5.35,-9.122203098,0.050359712,-0.964,3.512,11.83
20080331,-0.45,-0.568181818,-0.015151515,3.226,-1.352,-0.964
20080430,7.13,2.476190476,0.035447761,7.538,3.572,-3.746
20080531,1.45,-0.371747212,-0.063829787,-0.618,3.214,5.458
20080630,-9.56,0,-0.070909091,-5.5,1.73,-0.618
20080731,-4.79,2.985074627,-0.0237691,0.854,2.132,-0.706
20080831,-5.93,4.528985507,0.019900498,5.324,8.664,2.37
20080930,-1.78,0.346620451,-0.013536379,6.848,-2.29,2.99
20081031,-23.13,4.14507772,0.076794658,7.714,4.91,6.672
20081130,7.70,-6.79933665,-0.036166365,-2.106,-4.304,-7.114
20081231,4.50,-16.72597865,0.15008726,0.31,0.628,-9.962
20090131,3.35,-31.1965812,0.092402464,-3.268,-4.202,-4.772
20090228,-2.78,-16.14906832,-0.185520362,-9.056,-0.874,-1.33
20090331,13.47,-9.259259259,0.051526718,0.288,-0.924,-3.858
20090430,13.52,-1.224489796,0.014084507,-14.288,-3.006,-8.316
20090531,4.29,-0.41322314,-0.030612245,-3.632,3.522,-0.696
20090630,-0.42,0,-0.041584158,4.738,5.994,0.99
20090731,12.03,0,0.015209125,1.74,6.192,-3.402
20090831,2.22,2.904564315,-0.05019305,0.782,2.136,5.688
20090930,5.11,6.451612903,0.011029412,6.488,1.988,-1.408
20091031,-5.53,5.681818182,-0.013011152,-2.702,-1.028,-1.784
20091130,-1.59,0,0.011009174,3.392,0.034,-1.738
20091231,8.17,1.075268817,0.014842301,-0.494,-0.976,8.616
20100131,-4.19,2.127659574,-0.007532957,-3.758,-2.66,0.356
20100228,-2.61,0,0.009345794,-6.334,-2.364,0.976
20100331,6.16,-1.736111111,0.071698113,0.788,7.708,6.02
20100430,2.88,-11.30742049,0.00203252,1.142,4.802,5.138
20100531,-5.76,-2.390438247,-0.00814664,2.328,1.898,5.012
20100630,3.48,0,0.004040404,3.258,2.554,1.232
20100731,3.59,5.306122449,0.004056795,-2.102,3.144,-3.906
20100831,-0.94,1.937984496,0.046843177,1.992,-1.184,-1.364
20100930,7.46,1.140684411,0.085470085,5.272,4.222,2.026
20101031,0.88,0,0.039719626,-6.588,0.982,5.272
20101130,1.15,2.631578947,-0.090024331,8.69,1.824,1.06
20101231,7.68,2.564102564,0.004464286,5.42,2.16,1.32
20110131,0.91,4.642857143,-0.051569507,-1.48,-0.026,4.598
20110228,-6.30,6.825938567,-0.014925373,-3.362,-2.714,2.592
20110331,8.63,7.028753994,0.052521008,5.79,2.028,9.838
20110430,5.80,1.492537313,0.006651885,6.104,2.706,5.596
20110531,-2.28,1.764705882,0.03125,2.362,3.688,2.438
20110630,-1.95,2.023121387,0.023041475,-2.012,2.042,-0.832
20110731,1.85,1.699716714,0.002358491,-9.288,-4.45,1.718
20110831,-11.86,0,0.063829787,-4.038,-0.536,2.77
20110930,-5.88,-0.278551532,0.053030303,4.486,-3.632,0.098
20111031,7.88,0,-0.029333333,-2.728,-4.628,-2.736
20111130,-3.22,-0.558659218,0.015544041,-4.894,-1.764,5.252
20111231,-1.66,-0.280898876,-0.002631579,-6.396,2.852,0.22
20120131,7.12,0,0.002624672,-0.088,2.228,-9.476
20120229,3.81,-0.563380282,-0.002631579,-10.926,3.704,-3.366
20120331,-0.80,0.283286119,-0.036745407,0.782,1.29,3.558
20120430,-1.59,0,0.012658228,3.012,1.19,4.854
20120531,-6.99,0,0.038461538,-2.994,-2.148,2.416
20120630,0.22,0,0.032,-5.27,-2.638,1.092
20120731,1.51,-5.649717514,0.090909091,1.486,2.808,1.142
20120831,1.23,-4.491017964,0.063636364,-5.458,-2.82,5.164
20120930,4.17,-1.567398119,0.012944984,-0.268,2.26,2.67
20121031,-4.22,-6.687898089,0.026229508,-1.748,3.434,3.274
20121130,1.09,-2.730375427,-0.006734007,3.75,0.496,2.358
20121231,4.41,1.052631579,-0.046822742,4.078,3.95,-7.01
20130131,-1.76,-0.694444444,0.025559105,-6.202,2.886,-0.984
20130228,3.29,-1.048951049,0.003278689,-2.27,-2.49,4.854
20130331,-1.07,-0.706713781,0.042763158,-6.168,1.506,4.698
20130430,-2.04,-0.355871886,0.024054983,-9.284,1.466,10.32
20130531,1.89,-2.857142857,-0.021126761,-0.498,0.784,-7.078
20130630,-6.19,-1.102941176,-0.14137931,5.064,3.228,-2.592
20130731,2.72,-0.371747212,-0.048338369,-1.396,0.37,-2.958
20130831,0.49,-0.746268657,-0.040345821,3.85,4.964,-1.78
20130930,3.66,0,0.022160665,1.832,-0.442,-1.434
20131031,1.66,0,0.025495751,1.84,0.918,4.022
20131130,-0.34,-0.37593985,-0.040697674,5.674,2.158,4.158
20131231,-1.64,0,-0.019553073,2.348,3.204,-0.924
20140131,-3.05,0,0,-8.754,-1.878,1.162
20140228,2.00,0,0.035616438,-1.708,2.78,3.572
20140331,0.28,0,-0.005681818,-3.776,0.232,1.66
20140430,-1.20,0,0,-6.308,1.634,1.856
20140531,1.69,0,0.039548023,-0.388,2.738,7.466
20140630,0.36,0,0.032352941,2.59,1.732,1.748
20140731,3.69,0,0.069908815,1.436,6.364,0.636
20140831,0.32,-4.905660377,-0.009803922,-1.404,-1.84,4.436
20140930,-2.34,-6.746031746,0.025889968,-5.016,-3.798,3.854
20141031,-2.76,-5.957446809,0.079734219,-2.002,-1.542,6.302
20141130,2.86,-3.167420814,0.028880866,2.038,-0.592,-12.062
20141231,-3.29,-0.46728972,0.003717472,-2.292,-2.662,-0.04
20150131,1.76,0,0.100746269,-8.51,-6.668,4.704
20150228,1.71,-0.469483568,0.024896266,-8.162,3.646,-0.954
20150331,2.78,-8.018867925,0.029787234,-7.292,1.89,2.322
20150430,4.22,-7.179487179,0.043859649,-4.578,-0.482,3.272
20150531,-1.30,-0.552486188,-0.142201835,-8.402,-5.768,6.888
20150630,-1.92,-5.555555556,0.008032129,-5.402,-4.72,7.13
20150731,-2.12,-2.941176471,0.008097166,-5.774,-0.046,-0.052
20150831,-4.37,-0.606060606,0.057142857,1.878,0.926,-4.008
20150930,1.10,-2.43902439,0.038961039,-4.65,1.068,-6.83
20151031,3.40,-1.25,0.058558559,-3.404,-0.774,-0.816
20151130,-1.85,0.632911392,-0.076555024,-2.054,-2.734,3.138
20151231,-1.54,5.031446541,0.031111111,-4.014,0.784,-3.756
